时间,价格,数量
742,279,134596
743,280,123673
744,282,134443
745,282,130058
746,284,134610
747,285,134551
748,284,113292
749,285,131055
750,285,129951
751,285,116903
752,286,124052
753,285,129206
754,284,119636
755,284,130786
756,282,120121
757,284,131873
758,285,139462
759,285,137977
760,286,113770
761,286,119197
762,286,128302
763,288,133451
764,287,125868
765,289,131362
766,288,125367
767,288,109063
768,287,123331
769,287,124465
770,289,115796
771,288,118409
772,287,124037
773,285,128845
774,285,140319
775,284,117876
776,283,130651
777,283,118318
778,281,121121
779,282,121010
780,282,142481
781,282,126916
782,280,136267
783,280,122034
784,281,133171
785,283,119438
786,283,126231
787,286,109396
788,286,129439
789,288,112917
790,287,131199
791,289,128725
792,289,127261
793,288,122429
794,286,109507
795,288,121224
796,292,131137
797,290,133663
798,288,124684
799,289,113983
800,289,130631
801,289,120682
802,286,128367
803,286,101642
804,286,125402
805,286,115819
806,286,128754
807,288,112743
808,288,133802
809,288,107827
810,285,118491
811,286,131366
812,287,119653
813,285,135979
814,288,121057
815,287,124552
816,289,126796
817,286,116821
818,288,124905
819,289,118220
820,287,109748
821,287,115404
822,287,119657
823,287,115836
824,284,137549
825,285,122041
826,285,127501
827,283,136898
828,281,128059
829,280,116248
830,282,119452
831,282,124505
832,282,130391
833,281,120444
834,281,125884
835,281,131008
836,279,126460
837,281,109664
838,282,120686
839,282,130167
840,280,122205
841,282,117134
842,285,104509
843,286,128608
844,287,123307
845,288,128257
846,288,128253
847,287,128750
848,287,122497
849,287,124758
850,286,119755
851,286,124746
852,286,129238
853,286,134123
854,290,123081
855,289,120675
856,289,116446
857,288,131850
858,292,97700
859,293,126293
860,293,129526
861,293,139427
862,291,117804
863,293,124588
864,290,125894
865,290,104497
866,292,110096
867,291,119400
868,288,114570
869,288,128721
870,288,124267
871,289,134214
872,289,115602
873,289,121500
874,288,122214
875,289,138319
876,289,126304
877,288,132523
878,290,127926
879,289,108746
880,288,127070
881,289,122672
882,288,120069
883,291,114990
884,288,125811
885,289,126389
886,291,123534
887,288,129056
888,289,127945
889,291,129414
890,289,121094
891,290,105067
892,292,120644
893,290,125975
894,291,123487
895,290,143838
896,288,119965
897,289,126579
898,287,125974
899,287,120579
900,287,130186
901,289,131996
902,288,119204
903,287,112337
904,288,118346
905,286,133697
906,285,124228
907,286,123440
908,288,118458
909,288,122052
910,289,120463
911,289,118257
912,289,112988
913,287,147684
914,287,120177
915,286,121557
916,284,124491
917,285,124555
918,286,127768
919,287,127858
920,288,114529
921,285,120928
922,287,118951
923,286,120117
924,285,124453
925,288,132913
926,285,118078
927,284,130618
928,284,117395
929,283,130821
930,285,117669
931,286,129090
932,285,120827
933,284,120831
934,286,126421
935,286,126200
936,287,126561
937,286,128748
938,287,129240
939,288,128936
940,290,114613
941,290,132112
942,290,130532
943,289,115746
944,288,122466
945,286,142158
946,282,126706
947,281,113442
948,279,128746
949,281,129832
950,282,118406
951,282,119424
952,282,133323
953,278,139723
954,279,126761
955,278,108760
956,276,136802
957,276,125667
958,279,130070
959,280,126378
960,280,136355
961,277,141328
962,278,133092
963,279,148490
964,281,131751
965,282,124225
966,283,139301
967,282,121324
968,282,136036
969,280,121027
970,280,114970
971,282,119456
972,281,140302
973,282,130620
974,284,121634
975,282,121031
976,285,133715
977,285,120081
978,286,126443
979,286,131605
980,286,125975
981,287,114438
982,289,123772
983,291,101446
984,290,143636
985,290,132577
986,291,121066
987,289,118985
988,291,125838
989,291,106875
990,289,115271
991,290,131561
992,286,136797
993,285,118050
994,286,133441
995,287,138059
996,287,124821
997,289,138337
998,287,140885
999,288,126501
1000,290,120470
1001,288,133153
1002,289,106272
1003,289,128719
1004,290,127128
1005,290,118198
1006,292,120601
1007,292,132405
1008,292,117999
1009,295,112649
1010,298,112251
1011,296,125426
1012,294,131917
1013,292,109685
1014,294,112748
1015,294,117564
1016,291,131360
1017,291,115936
1018,294,113452
1019,297,118542
1020,298,137667
1021,297,129673
1022,297,133595
1023,298,125629
1024,296,120184
1025,298,117539
1026,299,110864
1027,296,114974
1028,297,125625
1029,299,132390
1030,296,119351
1031,294,125402
1032,292,138013
1033,290,146003
1034,289,126323
1035,290,126007
1036,290,119202
1037,290,119895
1038,290,136830
1039,291,128076
1040,292,119791
1041,294,102027
1042,294,116091
1043,293,126706
1044,294,113691
1045,294,123877
1046,292,105717
