股东序号,市值,资金,持仓
728,243673,12661,828
729,236118,84,846
730,1065670,169,3819
731,555238,555238,0
732,188746,142,676
733,218225,47,782
734,706807,706807,0
735,383028,240,1372
736,425432,236,1524
737,349145,349145,0
738,198861,213,712
739,399029,399029,0
740,263783,16031,888
741,408984,38751,1327
742,416932,416932,0
743,286038,63,1025
744,293475,246,1051
745,209119,706,747
746,966767,32,3465
747,369276,369276,0
748,476251,476251,0
749,174324,174324,0
750,275476,275476,0
751,296905,4234,1049
752,674773,151,2418
753,393680,11,1411
754,479375,53,1718
755,321072,3849,1137
756,201819,2892,713
757,435647,128,1561
758,357685,357685,0
759,486513,216,1743
760,289238,289238,0
761,521728,277,1869
762,210412,46,754
763,310408,310408,0
764,444603,19965,1522
765,317213,29006,1033
766,238301,238301,0
767,190309,310,681
768,335403,45,1202
769,467879,11714,1635
770,325964,92,1168
771,249825,120,895
772,430472,430472,0
773,487365,487365,0
774,264961,1027,946
775,601214,248,2154
776,355594,355594,0
777,611925,78,2193
778,333884,333884,0
779,437229,36,1567
780,491143,491143,0
781,214573,22,769
782,788391,495,2824
783,197260,15073,653
784,728545,76,2611
785,333862,24451,1109
786,390347,3095,1388
787,520438,28282,1764
788,411848,44,1476
789,428376,428376,0
790,374236,97,1341
791,294735,111,1056
792,388495,685,1390
793,213818,1220,762
794,367720,277,1317
795,412489,127,1478
796,273924,6921,957
797,309169,37,1108
798,157173,96,563
799,299238,10473,1035
800,189389,189389,0
801,605264,113,2169
802,403886,173,1447
803,212114,212114,0
804,562970,227,2017
805,349695,108,1253
806,503784,503784,0
807,708540,708540,0
808,190974,417,683
809,216694,1585,771
810,287788,976,1028
811,283992,249,1017
812,264661,169,948
813,305128,305128,0
814,243388,14050,822
815,248583,4458,875
816,182957,182957,0
817,240687,189,862
818,541479,541479,0
819,213623,188,765
820,272350,2836,966
821,463302,463302,0
822,405273,165,1452
823,399222,252,1430
824,249933,4413,880
825,192313,82,689
826,428166,180,1534
827,272587,272587,0
828,430697,200,1543
829,395367,303,1416
830,327056,347,1171
831,538469,278,1929
832,446793,393,1600
833,250862,250862,0
834,272045,20,975
835,178641,81,640
836,393317,11087,1370
837,321408,279,1151
838,237290,140,850
839,193342,274,692
840,269292,4800,948
841,349041,349041,0
842,180779,180779,0
843,146318,146318,0
844,565885,73,2028
845,320122,320122,0
846,381436,43,1367
847,216224,4742,758
848,677265,1806,2421
849,994829,194,3565
850,238416,238416,0
851,296041,301,1060
852,312629,149,1120
853,291595,5341,1026
854,215570,461,771
855,468339,468339,0
856,229705,88,823
857,301193,152,1079
858,561644,561644,0
859,263281,184,943
860,1223014,157,4383
861,439702,10879,1537
862,407699,80,1461
863,304422,304422,0
864,291057,6198,1021
865,445153,22747,1514
866,162657,558,581
867,267240,267240,0
868,406888,106,1458
869,496690,496690,0
870,280026,23067,921
871,183804,183804,0
872,366705,1494,1309
873,535390,2500,1910
874,265218,28068,850
875,367547,367547,0
876,301864,301864,0
877,200576,254,718
878,468618,456,1678
879,337284,252,1208
880,216183,4701,758
881,263015,263015,0
882,233479,1072,833
883,858573,90,3077
884,473463,279,1696
885,212761,442,761
886,253745,253745,0
887,167099,257,598
888,494745,494745,0
889,201397,4981,704
890,190007,17027,620
891,251940,282,902
892,261494,908,934
893,324163,244,1161
894,319864,130,1146
895,520078,520078,0
896,726026,25178,2512
897,526846,94,1888
898,589091,122,2111
899,223718,239,801
900,507269,47,1818
901,488069,211859,990
902,251462,5384,882
903,523325,41492,1727
904,356133,408,1275
905,331788,331788,0
906,284141,119,1018
907,384654,1029,1375
908,496282,496282,0
909,292769,98,1049
910,229783,8815,792
911,322730,206,1156
912,637196,637196,0
913,594712,163,2131
914,801367,79,2872
915,469487,209,1682
916,168494,257,603
917,182921,182921,0
918,232915,232915,0
919,261670,5548,918
920,922293,922293,0
921,567148,220,2032
922,617261,950,2209
923,219608,314,786
924,221281,221281,0
925,256802,256802,0
926,246200,6260,860
927,865208,587,3099
928,225037,16624,747
929,509629,3802,1813
930,313244,313244,0
931,378663,378663,0
932,235229,235229,0
933,158892,158892,0
934,392500,30079,1299
935,378052,378052,0
936,308048,308048,0
937,339858,339858,0
938,287559,13860,981
939,179536,179536,0
940,725454,333,2599
941,818516,209,2933
942,246290,212,882
943,946098,946098,0
944,422274,422274,0
945,318538,199,1141
946,289454,131,1037
947,303391,303391,0
948,318926,29,1143
949,491518,1036,1758
950,241528,751,863
951,422089,241,1512
952,389391,186,1395
953,338834,128,1214
954,206571,206571,0
955,408461,408461,0
956,513896,513896,0
957,342745,3760,1215
958,319587,14361,1094
959,335946,12864,1158
960,330807,192,1185
961,386130,273,1383
962,646631,188,2317
963,339621,78,1217
964,252538,8971,873
965,178600,40,640
966,569120,36509,1909
967,462127,462127,0
968,255080,74,914
969,421992,421992,0
970,341254,43840,1066
971,1696268,227,6079
972,307612,17731,1039
973,166334,50,596
974,233314,907,833
975,502871,3182,1791
976,316644,3048,1124
977,233603,80,837
978,459326,92,1646
979,240233,19265,792
980,310068,99,1111
981,406273,886,1453
982,503943,69,1806
983,305679,174,1095
984,1480252,1480252,0
985,250451,188,897
986,352951,295,1264
987,268139,35174,835
988,228806,26,820
989,517950,405,1855
990,376495,124,1349
991,282058,282058,0
992,180876,84,648
993,597390,51,2141
994,392288,392288,0
995,508110,50829,1639
996,508946,508946,0
997,259109,259109,0
998,329771,272,1181
999,378724,378724,0
1000,317175,18366,1071
