时间,价格,数量
664,171,312725
665,178,83589
666,179,64559
667,184,59836
668,170,613267
669,158,135173
670,157,120805
671,160,147510
672,168,585593
673,175,164513
674,177,78468
675,185,205647
676,200,121185
677,212,207177
678,221,462624
679,212,172998
680,209,72512
681,211,70404
682,219,128196
683,235,73515
684,254,66904
685,247,178550
686,246,317882
687,251,73054
688,253,161944
689,245,495178
690,252,480672
691,250,312655
692,240,90285
693,227,77988
694,222,163565
695,227,102160
696,258,243460
697,237,178325
698,234,506345
699,232,80486
700,224,155715
701,224,158544
702,217,111337
703,217,126949
704,206,164215
705,205,326707
706,177,119008
707,170,59902
708,159,64780
709,153,83669
710,144,73990
711,141,85833
712,120,145920
713,120,141595
714,106,170663
715,114,173082
716,116,142622
717,106,167851
718,97,155359
719,109,722155
720,126,835910
721,140,68781
722,127,453585
723,120,281377
724,123,128080
725,127,341586
726,122,417867
727,124,92839
728,117,302103
729,118,183435
730,117,75247
731,120,219655
732,119,463661
733,114,481137
734,96,204713
735,102,346915
736,112,292091
737,117,236358
738,124,76731
739,112,464224
740,107,143671
741,110,138198
742,123,292204
743,138,381863
744,155,46281
745,145,271788
746,149,168525
747,148,93910
748,156,92648
749,161,55804
750,165,77328
751,171,491416
752,173,120200
753,174,146097
754,182,107946
755,195,82430
756,164,219786
757,179,203199
758,184,99384
759,190,53543
760,201,289095
761,183,231232
762,180,60777
763,169,98312
764,171,111649
765,172,158494
766,171,168295
767,163,375902
768,157,66758
769,150,134336
770,140,177547
771,156,439917
772,149,369024
773,146,99402
774,152,268377
775,156,736895
776,163,642047
777,151,207885
778,133,280581
779,142,319105
780,146,137588
781,135,195247
782,138,331516
783,131,223395
784,128,173432
785,126,92436
786,120,202924
787,118,286941
788,108,199226
789,95,185171
790,98,509604
791,97,230329
792,99,110339
793,93,139985
794,93,165379
795,90,103903
796,98,310268
797,108,99232
798,109,113314
799,106,159004
800,95,596814
801,103,345773
802,104,86537
803,105,232226
804,95,398305
805,88,154589
806,89,373717
807,80,265320
808,82,187330
809,84,153787
810,94,301799
811,105,600354
812,111,72295
813,112,181143
814,106,777330
815,101,181593
816,109,189505
817,86,400874
818,102,523277
819,99,126609
820,104,573430
821,116,166682
822,117,102836
823,115,784192
824,120,99731
825,128,197350
826,120,183426
827,120,207696
828,116,207911
829,114,126148
830,121,162426
831,123,113676
832,124,126700
833,128,128136
834,120,160004
835,121,170481
836,124,135900
837,125,175101
838,126,213452
839,130,197719
840,122,161793
841,124,174202
842,128,220653
843,131,154431
844,130,213311
845,127,113073
846,112,413884
847,102,103049
848,109,359859
849,107,160007
850,99,123307
851,99,227478
852,96,295946
853,101,184070
854,104,348888
855,116,171999
856,125,109771
857,131,75382
858,131,193083
859,130,145796
860,129,262689
861,129,199969
862,124,160372
863,126,140251
864,120,180032
865,111,152137
866,111,146543
867,122,232570
868,123,155506
869,107,424481
870,101,192242
871,96,180742
872,91,131582
873,89,231580
874,89,370265
875,87,535551
876,91,223538
877,93,112563
878,93,119251
879,92,376388
880,93,146608
881,86,197820
882,89,204876
883,87,279575
884,88,314428
885,82,159567
886,88,226542
887,89,93584
888,86,254466
889,88,128949
890,84,212858
891,83,270928
892,87,134780
893,93,190228
894,91,208618
895,95,291316
896,102,412765
897,103,116222
898,105,531582
899,109,102872
900,122,171575
901,119,229980
902,112,274852
903,109,179430
904,111,122351
905,106,136449
906,104,121552
907,103,483265
908,106,139803
909,110,306554
910,116,303862
911,110,198050
912,130,367644
913,144,164439
914,159,52736
915,154,307910
916,190,576824
917,200,44730
918,215,88701
919,223,63431
920,235,856772
921,238,92850
922,239,359263
923,236,345481
924,256,249094
925,260,50570
926,269,140782
927,275,42199
928,259,465053
929,260,188806
930,293,353309
931,287,93350
932,270,403080
933,266,132521
934,267,193359
935,269,68386
936,277,224611
937,287,163226
938,298,127603
939,302,39896
940,290,388723
941,271,168953
942,271,114923
943,274,455412
944,289,226912
945,295,260487
946,290,68372
947,303,110194
948,305,337627
949,310,167786
950,318,165423
951,322,164090
952,314,113468
953,315,183711
954,282,303882
955,240,88927
956,228,186653
957,215,37765
958,197,212391
959,186,180235
960,176,327893
961,173,201048
962,175,82750
963,159,131248
964,154,311860
965,147,65368
966,149,239412
967,140,226063
968,145,401725
969,149,153477
970,148,92363
971,138,275038
972,123,216744
973,116,240380
974,108,204292
975,118,465613
976,115,371763
977,115,197916
978,123,83759
979,123,463950
980,131,259796
981,122,501307
982,124,250494
983,123,108144
984,126,144700
985,127,326662
986,153,511719
987,166,45915
988,175,112869
989,187,175110
990,176,567216
991,173,399819
992,165,258498
993,162,283352
994,165,194102
995,165,181206
996,162,301442
997,157,278409
998,165,313372
